,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%]
0,AC,29695.495361513258,27594.27335409666,2101.2220074165984,0.0,92.92410521583729,2.4663564188534726,5.310399146578
1,APH,16240.990471320738,13683.491755099654,2557.498716221083,0.0,84.2528156103702,3.001921430813754,6.463543096377854
4,CC,84181.39879775708,58783.60645530705,25397.79234245003,0.0,69.8296860052571,29.81122791756954,64.18760811768493
5,DRUM,18113.540975538403,18104.374805582826,9.166169955577702,0.0,99.94939603488928,0.010758997396013248,0.023165577429552397
2,EV,15168.288971691385,10576.869135973468,4591.419835717918,0.0,69.73014000269315,5.38928192428211,11.603853324930261
6,EXP,62690.50585833938,59695.49536151326,2995.01049682612,0.0,95.22254533470525,3.515460687784474,7.569262614897139
3,PH,1915.952067054837,,1915.952067054837,0.0,,2.24889167451947,4.842168122102255
TOT,TOT,85195.3915238815,42753.6464621692,39568.06163564217,2873.683426070135,50.18305062919365,46.443899051218835,100.0
